Company Name,Rating,Job Title,Location
Campari Deutschland GmbH,4.2,Commercial FP&A (Senior) Specialist (m/f/d),Munich
Hanseatic-Statistics,4.0,Data Analyst,Home office
Ernst & Young GmbH,4.1,Data Scientist/Analyst prüfungsnahe Beratung/Quants - Assurance (Financial Services) (w/m/d),Germany
Siemens AG,3.9,Senior Financial Data Analyst Strategic Controlling (w/m/d) in Supply Chain Management,Berlin
ECOMMERCE ONE AcquiCo GmbH,3.5,Data Analyst (m/w/d),Krefeld
api GmbH,4.5,(Junior) Data Analyst,Baesweiler
Tipico,5.0,Data Analyst (m/f/x),Sankt Julian
Specialized,3.0,Data Analyst - Retail,Holzkirchen
Airbus,5.0,Praktikanten als Data Analyst/Scientist im Bereich Produktion metallischer Einzelteile (d/m/w),Donauwörth
HolidayCheck Group AG,3.9,Data Analyst (m/f/d),Munich
Telefónica Germany GmbH & Co. OHG,4.3,Business Analyst (m/w/d),Germany
"PVcase, UAB",3.8,Product Data Analyst,Home office
Avery Dennison,3.6,Data Analyst - Lean / Process Engineering,Gotha
SIXT Germany,3.8,Senior Business Analyst (m/w/d) Finance,Rostock
Good Hood GmbH / nebenan.de,4.2,Data Analyst (f/m/d),Berlin
MANIKO Nails GmbH,4.2,Junior Data Analyst (m/w/d),Home office
AUDIA AKUSTIK GMBH,4.5,Data Analyst für Logistikprozesse (m/w/d),Erfurt
Forte Digital Germany GmbH,4.4,Data Analyst & Researcher (m/f/d),Berlin
DIEPA GmbH,2.7,Data Analyst (m/w/d),Magdeburg
Project A Ventures,4.6,Business Data Analyst (m/f/d),Hannover
Solactive AG,3.5,Working Student (m/f/d) Data Analyst,Dresden
Scalable GmbH,3.8,Senior Marketing Data Analyst (m/f/x),Berlin
Solactive AG,3.9,Working Student (m/f/d) Data Analyst,Dresden
Würzburger Milchwerke GmbH,4.2,Data Analyst / Betriebsdatenerfasser (m/w/d),Würzburg
Infineon Technologies,2.7,Working Student: R&D Data Engineer & Analyst (f/m/div),Munich
Zurich Insurance,3.2,Data Analyst (m/w/d) im Bereich Planning & Performance Management,Köln
Bonial International GmbH,3.5,Senior Data Analyst (f/m/x),Home office
Vision11 GmbH,4.1,Data Analyst CRM (m/w/d),Munich
Yoummday GmbH,4.3,Data Analyst (m/w/d),Berlin
a-team Personalmanagement,4.3,Data Analyst (m/w/d) Business Development,Schwalbach am Taunus
SIV.AG,3.4,Data Analyst Datenmigration (m/w/d),Germany
smart Automobile,4.3,Data Analyst (f/m/d),Leinfelden-Echterdingen
Mabanaft GmbH & Co. KG,3.4,Junior Market Analyst (m/w/d) Schwerpunkt Aviation Fuels in Hamburg,Berlin
cargo.one,3.7,(Senior) Data Analyst,Home office
Yoummday,4.7,Data Analyst (m/w/d),Berlin
TALENTLOTSEN GmbH,3.8,Data Analyst (w/m/d) Data & Analytics,Hamburg
emetriq GmbH,3.0,Data Analyst (m/w/d),Hamburg
Montblanc,3.2,Data Analyst Finance (m/f/d),Hamburg
Dirk Rossmann GmbH,3.9,Business Analyst (m/w/d) im Bereich Data,Burgwedel
PALTRON GmbH,3.5,Data Analyst (m/w/d),Home office
Media-Saturn Deutschland GmbH,3.5,(Senior) Analyst Corporate M&A (Mergers & Acquisitions) / Portfoliomanagement (m/w/d),Ingolstadt
machtfit GmbH,3.6,Senior Data Analyst (f/md/d),Berlin
Best4Tires GmbH,3.0,(Junior) Data Analyst / Business Intelligence (m/w/d),Neuwied
Project A Ventures,3.9,Data Analyst - Pricing (m/w/d),Fürth
NewStore,3.5,Senior Data Analyst,Berlin
Dr. Willmar Schwabe GmbH & Co. KG,3.9,Data Analyst (m/w/d),Karlsruhe
sei mobil Verkehrsgesellschaft mbH,3.7,Data Analyst (m/w/d) GPS und Routenoptimierung,Germany
SumUp Services GmbH,3.3,Senior Data Analyst - Finance,Berlin
