Company Name,Rating,Job Title,Location
Waters Corporation,3.8,Financial Business Analyst,Eschborn
ZweiDigital GmbH,4.3,Data Analyst in einer Digitalagentur (m/w/d),Frankfurt am Main
Picnic,4.3,Product Analyst (m/w/d),Düsseldorf
Archer Daniels Midland Company,4.6,Junior Business Analyst (m/f/d),Heidelberg
Bergfreunde GmbH,3.9,Business Analyst - Marketing Planning und Forecasting (m/w/d),Kirchentellinsfurt
CallOne GmbH,3.7,Senior Data Analyst - Power BI / Reporting / Analyse (m/w/d),Potsdam
AUTO1 Group,3.7,Investor Relations - Expert (f/m/x),Berlin
Hannover Rück SE,3.4,Reporting Analyst ESG Sustainability Reports,Germany
"hagebau Logistik GmbH & Co. KG, Soltau",5.0,(Junior-) Kennzahlenmanager / Data Analyst (m/w/d) Logistik,Soltau
singularIT GmbH,4.2,Data Analyst (Business Intelligence) (m/w/d) - Vollzeit/Teilzeit,Leipzig
Bank of Scotland,3.6,Data Analyst im Bereich Marketing,Düsseldorf
Nitrado (marbis GmbH),4.2,Senior Data Analyst / Data Scientist (m/w/d),Karlsruhe
Hasso Plattner Foundation,4.1,Working Student - Data Science,Potsdam
locandis GmbH,4.3,Studentenjob als Data Analyst (m/w/d),Göttingen
headhunting for the best GmbH,3.8,Junior Produktmanager (administrativ) Young Fashion Brand (m/w/d),Köln
MEAG,3.9,Data Analyst (m|w|d),Munich
TASCHEN,3.5,Junior Controller / Data Analyst (M/W/D),Köln
Baumlink,3.9,Digital Data Analyst*,Munich
WSD,5.0,Student Data Analyst (m/w/d),Göttingen
Halbauer GmbH Expert Management,1.7,Data Analyst / Prozessexpert:in (m/w/d) Umweltdaten | hybrid,Stuttgart
ARMON GmbH,4.1,Business Intelligence Developer (m/w/d),Montabaur
Houlihan Lokey,4.0,Class of 2024 Financial Analyst - Corporate Finance (Technology),Frankfurt am Main
Platform 6 Ltd,3.9,ServiceNow HRSD Developer - Berlin or Amsterdam or Warsaw or Stockholm - Hybrid / remote working,Germany
Platform 6 Ltd,3.6,ServiceNow HRSD Functional Consultant / Leader - Berlin or Amsterdam or Stockholm or Warsaw - Hybrid,Germany
L-Bank,4.2,IT ServiceNow CMDB Analyst – Configuration Management Database (m/w/d),Karlsruhe
Quantum-Systems GmbH,5.0,Flight Data Analyst – Predictive Maintenance (m/f/d),Gilching
Toll Collect GmbH,4.0,Data Analyst*in (d/m/w),Berlin
ALL4GOLF,3.9,Data Analyst E-Commerce (m/w/d),Hannover
Fraport AG,3.6,Data Analyst / Controller (m/w/d),Frankfurt am Main
Tentamus,4.1,Team Lead – Data Analyst,Berlin
Sedo.com LLC,4.1,Business- / Data Analyst (m/w/d),Köln
1&1 Versatel GmbH,4.0,(Senior) Data Analyst (w/m/d),Düsseldorf
David+Martin,3.1,Data Analyst (w/m/x),Munich
SMT Thermal Discoveries,4.1,Sachbearbeiter Data Analyst (m/w/d),Wertheim
TRICONNECT Consulting,4.3,Data Analyst (m|w|d),Düsseldorf
rheindata GmbH,4.0,Data Engineer (m/w/d),Köln
KOSATEC Computer GmbH,3.1,Data Analyst (m/w/d),Braunschweig
DER Touristik,4.4,Customer Data Analyst (m/w/d),Frankfurt am Main
Siemens Energy,3.4,Sales Intelligence Analyst (f/m/d),Erlangen
Picnic,4.0,Fulfillment Analyst (m/w/d),Hamburg
NetCologne,4.5,Data Analyst Online & CRM B2C (m/w/d),Köln
DEED Consulting GmbH,3.9,Data Analyst | IT Consultant (m/w/d),Langenfeld (Rheinland)
davidmartin GmbH,3.6,Data Analyst (w/m/x),Munich
ARRK,4.0,Data Analyst / Engineer im Bereich Fahrdynamik (m/w/d),Munich
Gesellschaft für musikalische Aufführungs- und mechanische Vervielfältigungsrechte (GEMA),3.7,Data Analyst – Schwerpunkt Verteilungscontrolling und -reporting (m/w/d),Berlin
GoldenTech GmbH,3.8,Data Manager/Data Analyst (m/w/d),Berlin
HII,3.9,Africa All-Source SME (Intelligence Analyst 3),Rhineland-Palatinate
ING,4.1,Marketing Data Analyst – Product Area Marketing Analytics & Pricing (w/m/d),Berlin
GetYourGuide,4.1,"Senior Data Analyst, Business Analytics (Supply Acquisition)",Berlin
SumUp Services GmbH,3.2,Senior Data Analyst - Finance,Berlin
TIM INTRALOG. GmbH,3.8,(Senior-)Data-Analyst (m/w/d),Mannheim
KARL STORZ,3.9,Process Intelligence Analyst (m/f/d),Tuttlingen
ODDO BHF,3.9,Market Data Analyst (m/w/d) in Saarbrücken,Saarbrücken
sikwel GmbH,4.2,Data Engineer (w/m/d),Oldenburg (Oldenburg)
Choco Communications GmbH,3.5,Senior Business Intelligence Analyst - (m/w/d),Berlin
Zollner Elektronik AG,3.6,Data Analyst (m/w/d) - Digital Engineering,Zandt
Leipziger Foren Services GmbH,3.5,Data Analyst mit Schwerpunkt Innovation und Nachhaltigkeit (m/w/d),Leipzig
Edeltravel Luxusreisen GmbH,3.9,Data-Analyst & CRM-Manager (m/w/d),Düsseldorf
SWK AG,3.2,Business Data Analyst (w|m|d),Krefeld
CIRCOR,1.0,Business Applications Support Analyst (m/f/d),Radolfzell am Bodensee
s-dt.de,3.3,Business- und Data-Analyst,Lentföhrden
ODDO BHF,3.8,IT Data Business Analyst (m/f/d) in Saarbrücken,Saarbrücken
njoy online marketing GmbH,2.7,Trainee Web Analytics / Digital Data Analyst / Tracking Manager (m/w/d) gesucht!,Köln
Polo Motorrad und Sportswear GmbH,3.5,Junior Customer Data Analyst / Manager (m/w/d),Jüchen
Kolibri Games GmbH,3.6,Lead Data Analyst (f/m/d),Berlin
Pwc Germany,3.4,Data Scientist / Data Analyst (w/m/d),Leipzig
ALTEN Consulting Services GmbH,4.3,Data Analyst (all gender),Munich
French Consulting,4.7,Data Integrator,Kaiserslautern
Process& GmbH,3.7,Data Scientist and Process Mining Architect,Munich
Hahne Holding GmbH,3.8,Database Engineer / Data Analyst (m/w/d),Hannover
Autobahn Tank & Rast Gruppe GmbH & Co. KG,3.5,Data Analyst E-Mobility (m/w/d),Bonn
Adobe,4.0,Sales Operations Analyst,Munich
Trelleborg Sealing Solutions (TSS),3.4,SAP Business Analyst Data Migrations (m/f/d),Stuttgart
BNP Paribas,4.7,Data Scientist / Analyst (m/w/d),Oberhaching
pilot group,4.5,(Junior) Geo-Data Analyst*in (m/w/d/x),Nuremberg
Hess Natur-Textilien GmbH & Co. KG,4.5,Senior Data Analyst (m/w/d),Butzbach
Riedel Bau,3.8,Data Analyst (m/w/d),Schweinfurt
Mabanaft GmbH & Co. KG,3.8,Lead Data Engineer - Data Platform (m/f/d) Hamburg,Hamburg
MEGABAD GmbH,3.8,(Senior) Data Analyst (m/w/d),Kerpen
MUNICH Digital Institute,4.1,Business / Data Analyst Tableau (m/w/d),Munich
DS Smith,2.8,Business Analyst (Change Management),Germany
TZLOG,3.0,DATA ANALYST & PROCESS ENGINEER (M/W/D),Göppingen
Home Shopping Europe GmbH,4.1,Business Operations Analyst (m/w/d),Munich
Heinemann,3.1,Web & App Analyst (m/f/d) E-Commerce,Hamburg
Dataseat,4.1,Business Analyst (f/m/d),Berlin
Arup Deutschland GmbH,3.2,Finance Analyst / Finance Administrator (m/f/d),Home office
Meine-Krankenkasse,3.7,Data Analyst/Marketing Manager (w/m/d),Germany
Distribusion Technologies GmbH,4.5,"RESI Support Analyst, working student (all genders)",Home office
CSL Behring,4.0,Business Systems Architect,Germany
hm informatik ag,4.2,Data Analyst,Ilmenau
FalconSmartIT,3.8,Support Desk Analyst,Bad Homburg v. d. Höhe
Deutsche Post & DHL,2.3,Business Intelligence Analyst (m/w/d),Schkeuditz
Vodafone,4.2,Senior Expert Fraud Data & Process Analyst (m/w/d),Düsseldorf
TUI Group,4.1,Junior Web Analyst (m/w/d),Rastatt
Covestro,3.7,Machine Learning and Data Science Operations Manager (m/f/d),Leverkusen
VARIUS IT GmbH & Co. KG,3.4,Information Security Analyst,Home office
Bulut Consulting GmbH,4.0,Quereinstieg Data Engineer (m/w/d),Bielefeld
Paul Lange & CO. OHG,5.0,Data Analyst / Specialist Business Intelligence (BI) (m/w/d),Stuttgart
WOLF IT Consulting GmbH,5.0,Praxissemester Data Science / Analyst (m/w/d),Bruchmühlbach-Miesau
Grafana Labs,3.6,"Senior Data Analyst - Grafana Developer Advocacy (Remote, Germany)",Home office
European Energy Exchange AG,4.3,Market Surveillance Analyst (w/m/d) - limited 18 months,Leipzig
TLGG,4.8,Social Media Data Analyst (w/m/d),Berlin
"Lexzau, Scharbau GmbH & Co. KG",3.9,Business Intelligence & Data Warehouse Consultant / System Analyst (m|w|d),Bremen
Booz Allen,3.8,Technology Enabled Analyst,Stuttgart
estos GmbH,3.9,Business Analyst Data Management (w/m/d),Starnberg
Consileon Applied Business GmbH,3.5,Business Data Analyst (w/m/d) SAP,Germany
Legalhero GmbH,3.9,Business Intelligence Manager / Data Analyst (m/w/d),Berlin
BMG RIGHTS MANAGEMENT GmbH - Corporate,3.2,Principal Data Scientist (f/m/d),Berlin
Visa,5.0,Sales Analyst,Frankfurt am Main
Deutsche Telekom Technik GmbH,4.1,Senior Data Scientist GenAI (m/w/d),Bonn
shift GmbH,3.7,Data Analyst (m/w/d),Frankfurt am Main
BridgingIT GmbH,4.2,Business Data Analyst & Data Thinking Consultant (w|m|d),Mannheim
TASCHEN GmbH,3.8,(Junior) Controller/Data Analyst (m/w/d),Köln
ASML Berlin GmbH,3.8,Data Analyst:in,Berlin
Q_PERIOR AG,4.3,"Inhouse Consultant People Data & Analytics - 60-100%, München/ deutschlandweit/remote",Germany
INOYAD GmbH,4.0,Data Analyst Manufacturing (m/f/d),Augsburg
best 4 bps GmbH & Co. KG,4.6,Data Analyst/Data Visualizer (m/w/d),Erkrath
Deutsche Bank,1.8,DWS - Risk Reporting Analyst (m/f/d) (6 months),Berlin
Adlytics,3.5,Web Analyst,Mannheim
Libri GmbH,3.3,Junior Data-Analyst*in Logistik & Produktion,Bad Hersfeld
SEW-Eurodrive GmbH & Co. KG,4.0,FESTANSTELLUNG Data Analyst Condition Monitoring - Predictive Maintenance (w/m/d) ITBerufserfahrene & ggfs. EinsteigerGraben-NeudorfDeutschland,Graben-Neudorf
Govcio LLC,3.0,Business Intelligence Analyst,Stuttgart
Solvay,4.2,Junior Account and Data Management Analyst (m/w/d) - VIE,Hannover
Milestone Consult GmbH & Co. KG,3.8,Data Analyst (m/w/d),Kamp-Lintfort
Crown Gabelstapler GmbH & Co. KG,2.5,Direkteinstieg als Business Data Analyst (m/w/d),Feldkirchen
Consultix,3.3,Business Intelligence / Data Analyst (m/w/d),Bremen
"Ferring Pharmaceuticals, Inc.",4.7,Supply Chain Data Analyst (m/w/d),Kiel
Stiegelmeyer GmbH & Co. KG,4.5,Data Engineer / Analyst (m/w/d),Herford
Geis Gruppe,5.0,DATA ANALYST MIT SCHWERPUNKT BUSINESS INTELLIGENCE (M/W/D),Bad Neustadt a. d. Saale
GEA Group,3.6,Business Analyst (f/m/d),Biedenkopf
Parkdepot,3.1,Data Analyst Sales (all genders),Munich
RTL Deutschland GmbH,3.5,Data Engineer (f/m/x),Köln
Bloomberg,4.4,Bloomberg Economics - Modeling - Quantitative Analyst (Data Visualization) - Frankfurt,Frankfurt am Main
Exaring AG,2.4,Data Analyst (w|m|d) in München bei waipu.tv,Munich
CarOnSale,4.0,Senior BI Analyst (f/m/x),Berlin
justtrack,4.6,QA Tester (f/m/d),Hamburg
Nordex SE,4.4,Analyst Sourcing Global Blades (m/f/d),Hamburg
Booz Allen,4.2,"Data Scientist, Mid",Stuttgart
Delivery Hero,3.7,Business Analyst (all genders),Berlin
Bechtle Logistik & Service GmbH,3.3,Business Analyst / Marketing Data (w/m/d),Neckarsulm
Rosental Organics GmbH,2.5,Beauty Product Data Analyst (m/w/d),Berlin
Essity,5.0,Logistics Analyst (d/f/m),Hamburg
Orange Quarter,3.5,Senior Data Analyst and Engineer,Berlin
admoVa Consulting GmbH,4.0,Data Analyst Logistik,Bad Camberg
Convent Kongresse GmbH,3.5,Data Scientist ZEIT ONLINE (d/w/m),Hamburg
Intermate Media GmbH,4.1,Senior Data Analyst (m/w/d),Berlin
Donaldson,2.9,Supply Chain Analyst (m/w/d),Haan
E. Breuninger GmbH & Co.,3.8,(Junior) Business Intelligence Analyst:in,Stuttgart
Delivery Hero,3.8,Senior Data Scientist - Ad Tech (all genders),Berlin
Foundever,3.8,Reporting Analyst (m/w/d),Germany
FLEETCOR,5.0,Business Analyst,Nuremberg
Topcon Positioning,5.0,IT - Data Analyst m/w/d,Geisenheim
SumUp Services GmbH,4.0,Senior Data Engineer - Kafka and Streaming Infrastructure,Berlin
Straumann Group,4.1,CRM Data Analyst (m/w/x),Freiburg im Breisgau
Schwarz Dienstleistungen,3.0,(Junior) Data Analyst Payment & Risk (m/w/d),Neckarsulm
Bishop GmbH,4.2,Value Stream Manager and Data Analyst (d/f/m) Ref. 71195,Hamburg
VKB,4.0,Werkstudent als Business Analyst/Data Engineer (d/w/m) in München,Munich
AAF/Dinair,3.9,SAP BI & Analytics Analyst,Heppenheim (Bergstraße)
Aluminium Norf GmbH,3.7,Data Scientist (m/w/d),Neuss
Efficio Consulting,3.2,Business Analyst - Dusseldorf,Düsseldorf
taod Consulting GmbH,3.8,Data Engineer (m/w/d),Köln
Collaboration Betters The World GmbH,3.8,Data Engineer (m/w/d),Munich
DataCraft,4.3,Tutor:in - Data Science im Teaching (m/w/d),Home office
Axxiome,3.1,Business Analyst Banking,Germany
Alfred Kärcher SE & Co. KG,3.6,Data Analyst (m/w/d) Digitale Kanäle eCommerce,Winnenden
IGEFA SE & Co. KG,4.0,Data Analyst im E-Commerce Category Management (m/w/d),Germany
Aagon GmbH,4.0,Database Analyst MS SQL (m/w/d),Soest
ING,4.4,Risk Analyst – Data Governance (w/m/d),Frankfurt am Main
FEIG ELECTRONIC GmbH,4.3,Data Analyst*in ERP / BI,Weilburg
G+J Medien GmbH,3.5,(Junior) Digital Analyst (w/m/d),Hamburg
Tracxn Technologies,4.0,Media Relations Manager,Bavaria
ParTec AG,5.0,HPC and AI Application Analyst,Munich
Bertrandt AG,3.3,Data Analyst (m/w/d) Reporting / Business Intelligence,Gütersloh
taod Consulting GmbH,3.9,Trainee Data Engineer (m/w/d) - 12 Monate,Köln
Union Investment,3.3,Data Analyst*in (in Voll- oder Teilzeit),Hamburg
Clark Germany GmbH,3.5,Data Scientist (m/f/d),Home office
BMS Gruppe,3.9,Business Analyst Firmenkundenlösungen – Bereich Smar...,Düsseldorf
Goldman Sachs,5.0,"Controllers, Statistical Reporting Analyst/Associate - Frankfurt",Frankfurt am Main
Omio,4.0,Senior Analyst (Marketing/Product) (m/f/d),Berlin
enercity AG,3.5,BI Analyst:in,Hannover
RTL Deutschland GmbH,4.1,Data Engineer - Data Products (f/m/x) 1,Köln
MOBIS Parts Europe N.V.,4.0,Inventory Analyst IM Planning (m/f/d).,Eschborn
gridX,4.7,(Junior) Financial Analyst (M/F/D),Munich
Heinemann E.K. Personal- und Managementberatung,3.5,Data & Process Analyst (m/w/d),Dessau-Roßlau
Saras Analytics,3.7,Senior Data Engineer,Bavaria
SoCura,3.9,Business Application Analyst - Data Engineering / ETL- Entwicklung (m/w/d),Köln
engenious GmbH,3.7,Data Analyst - Business Development Consultant (m/w/d),Brühl
Würth Industrie Service GmbH & Co. KG,4.7,Business Intelligence/Data Analyst (m/w/d),Heilbronn
Raisin,3.0,SOC Analyst (m/f/d),Berlin
CELUS,5.0,Senior Data Engineer,Munich
Steinbeis Center of Management and Technology,4.0,Berufsintegrierter Master – Data Analyst bei Zeiss (m/w/d),Oberkochen
KPMG,3.9,Business Analyst - ServiceNow (w/m/d) Consulting,Berlin
FINMAS GmbH,3.7,Controller / Data Analyst (w/m/d),Berlin
Knorr-Bremse,3.8,Customer Quality Data Analyst (m/w/d),Munich
Ottobock SE & Co. KGaA,3.2,Data Engineer (d/f/m),Berlin
Dexcom,4.1,(Junior) Business Analyst Sales (m/w/d),Home office
Glatfelter,3.8,SAP FI/CO IT Analyst (m/f/d),Gernsbach
Predict42 GmbH,4.1,Data Engineer / Cloud Engineer (m/w/d,Mainz
Siemens Energy,3.8,Data / Business Analyst Lean & Digitalization (w/m/d),Troisdorf
VHV Gruppe,3.9,"Data Analyst (m/w/d) für Querschnittsthemen im Bereich Markt-Pricing, Analytik und Strategie",Hannover
Booz Allen,4.3,"Data and AI Policy Analyst, Senior",Stuttgart
MCG Stuttgart GmbH,4.1,Business/Data Analyst im Bereich Digitalisierung (m/w/d),Böblingen
VR Smart Finanz AG,3.7,Financial Data Analyst (d/m/w),Eschborn
General Reinsurance AG,1.9,(Senior) IT Business Analyst (d/f/m),Köln
AUDI AG,3.9,Audi Global Graduate Program – Performance Marketing Analyst,Ingolstadt
ZEISS Group,4.4,IT Business Analyst (f/m/x),Oberkochen
cplace,3.3,Financial Analyst (f/m/d),Munich
KLEO Connect,3.8,Financial Analyst (w/m/d),Berlin
Cofinity-X GmbH,3.5,Business Analyst (m/f/x),Köln
TeamViewer,3.3,"Work Student, Data Engineering (all genders)",Stuttgart
Q Advisors LLC,3.8,TMT Investment Banking Analyst,Germany
Picnic,4.1,Business Analyst (m/w/d),Düsseldorf
Continental,3.8,Penetration Tester & Vulnerability Analyst (m/f/d),Hannover
Sybille Heinemann e.K. Personal- und Managementberatung,3.6,Data & Process Analyst (m/w/d); RN 71242,Dessau-Roßlau
StreetBuzz Distribution,4.0,Data Analyst E-Commerce (m/w/d),Kleinblittersdorf
tink GmbH,3.6,CRM Analyst (all genders),Berlin
SMA Solar Technology AG,3.6,Werkstudent :in - Quality Data Analyst,Kassel
Unternehmensgruppe Brüder Schlau,3.7,Data Analyst (m/w/d) im Bereich Supply Chain und Logistik - Porta Westfalica,Porta Westfalica
Picnic,3.7,Senior Business Analyst (m/w/d),Hamburg
DADAJ,4.0,SEO - Data Analyst:in,Home office
Morgan Stanley,4.0,2024 Economics Research Off-Cycle Summer Internship (Frankfurt),Frankfurt am Main
DATALOGUE Schweiz AG,3.9,Junior Campaign Analyst (m/w/d),Hamburg
Unistaff GmbH,4.0,Data Analyst (w/m/d) Öffentlicher Dienst (+1000€ Unterschriftsprämie),Munich
Oxane Partners,4.6,Analyst/Senior Analyst - Asset Backed Lending,Bavaria
BabyOne,3.2,Data Engineer (m/w/d),Münster
GC Großhandels Contor,4.1,ETL-ENTWICKLER DATA WAREHOUSE (w/m/d),Stuhr
Statkraft,4.7,Contract Operations Analyst (f/m/d),Düsseldorf
Rugvista,4.0,Marketing Analyst,Berlin
Salutas Pharma GmbH,4.5,"Business Analyst, IT Manufacturing Sites (d/w/m)",Barleben
IT-P GmbH,3.0,Data Science Consultant (m/w/d),Hannover
DATEV eg,4.0,(Senior) Data Specialist Business Intelligence (m/w/d),Nuremberg
engineering people GmbH,4.3,Data Analyst im Automotive Umfeld (m/w/d),Berlin
MOBIS Parts Europe N.V.,2.4,Associate Business Analyst (m/f/d),Eschborn
umaris GmbH & Co. KG,3.9,Big Data Analyst / Business Analyst im Bereich Automotive / Immobilien (m/w/d),Berlin
Premier Inn Hotels,3.2,(Senior) Supervisor - Shared Service Center Accounting (gn),Frankfurt am Main
projx GmbH,2.8,Data Analyst Online Marketing (m/w/d),Munich
9 friendly white rabbits,4.0,"Senior Data Analyst/Consultant (m/w/d), Berlin",Berlin
clicks digital GmbH,3.8,Web Analyst (m/w/d) Remote,Home office
why worry GmbH,3.7,Senior Digital Analyst (m/w/d),Essen
Institutional Investment Group GmbH,3.7,Data Analyst Accounting (m/w/d),Wiesbaden
invivo Group GmbH,4.7,Web Data Analyst (w/m/d),Mannheim
ADAC Allgemeiner Deutscher Automobil Club,3.6,Data Analyst für die ADAC Versicherungen (w|m|d),Munich
DEHN SE,3.7,Data Engineer (m/w/d),Neumarkt i. d. OPf.
Amplifon Group,3.2,Business Analyst / Sales Performance Specialist (m/w/d),Hamburg
Zync Group,3.3,SECURITY ANALYST,Germany
Gesellschaft für musikalische Aufführungs- und mechanische Vervielfältigungsrechte (GEMA),4.6,Business und Data Analyst Controlling (m/w/d),Munich
MTU Aero Engines AG,3.5,Intern Strategy and Market Analysis - Focus on Data Science (all genders),Munich
aquitas GmbH,4.1,Data Analyst (gn),Nuremberg
PHARMATECHNIK GmbH & Co. KG,3.9,(Senior) Data Analyst (m/w/d) im Bereich Business Intelligence,Starnberg
Collaboration Betters The World GmbH,5.0,Business Analyst (M/W/D),Home office
KPMG,3.2,Manager Deal Advisory Data Analytics (w/m/d),Germany
Alcon,3.8,APL Supply Chain Hub Analyst,Freiburg im Breisgau
Q.ANT GmbH,4.0,Business Analyst (m/f/d),Stuttgart
SYSCREST GmbH,4.6,Junior Data Engineer (m/w/d),Hannover
BID Equity GmbH,4.3,(Senior) Data Scientist (m/w/x),Hamburg
Deutscher Ärzteverlag GmbH,3.5,Data Engineer (m/w/d),Köln
Springer Nature,3.6,(Senior) Analyst Strategy & Market Intelligence,Berlin
Siemens Energy,4.0,Service Engineer – Mechanical Design & Data Analysis (f/m/d),Mülheim an der Ruhr
Symbiotic Research,3.0,Team Lead – Data Analyst,Berlin
parcIT GmbH,3.8,Datenanalyst / Data Analyst Risikomanagement (w/m/d),Köln
Hannover Rück SE,4.1,Business Analyst Financial Systems,Germany
Viessmann Climate Solutions (ENG),1.9,Inventory Analyst (m/f/d),Allendorf (Eder)
Verivox GmbH,4.0,Product Manager (m/f/d),Berlin
Deed,4.0,"Senior Software Engineer, Data",Berlin
atlantis dx GmbH,3.5,Data Engineer m/w/d,Hamburg
Tipico,2.7,AML Analyst (m/f/x),Sankt Julian
EXXETA,4.0,(Senior) Data Analyst ADAS & AD (all genders),Berlin
Inkitt,3.9,Software Quality Assurance Analyst (m/f/d),Berlin
Raisin,3.3,IT Business Analyst – Payments (m/f/d),Frankfurt am Main
OMMAX GmbH,4.1,(Senior) Data Analyst (m/w/d),Munich
Tesla,3.9,Inventory Analyst (m/w/d) - Gigafactory Berlin-Brandenburg,Grünheide (Mark)
Jochen Schweizer mydays Group,3.8,Technical Web Analyst (m/f/d),Munich
Dr. Pfleger Arzneimittel GmbH,3.2,Analyst Business Intelligence (m/w/d),Bamberg
Finanz Informatik GmbH & Co. KG,4.5,Data Scientist / -analyst / Datenmanager AnaCredit (m/w/d),Frankfurt am Main
Arcfield,3.5,Cyber Intelligence Analyst,Wiesbaden
ALDI SÜD,3.7,Business Analyst - Data Quality (m/w/d),Mülheim an der Ruhr
rumble GmbH & Co. KG,4.3,Newsroom Data Analyst (m/w/d) für die Chefredaktion,Dortmund
Delphi HR-Consulting,3.9,ETL-Entwickler/-Architekt Data Warehouse (m/w/d),Bremen
Picnic,5.0,Business Analyst Intern (m/w/d),Düsseldorf
The Creative Club,4.1,(Junior) Data Analyst (m/w/d) Visualization,Hamburg
ParkDepot GmbH,2.4,Data Analyst Sales (all genders),Munich
Vinz Global,4.0,Data Engineering Architect,Bavaria
HiveMQ,4.1,Senior Business Analyst,Landshut
The Relevance Group GmbH,3.5,Junior Campaign Analyst (m/w/d),Hamburg
Redcare Pharmacy,4.1,Junior Business Analyst (m/w/d),Köln
TechMiners GmbH,3.5,(Senior) Technology Analyst (f/m/x),Berlin
IONOS,3.7,Data Engineer (f/m/d) - Marketing,Berlin
Unisys,4.2,IT Asset Service Management Analyst,Munich
Uniper,3.3,Portfolio Analyst (f/m/d),Düsseldorf
Monta,4.3,Senior Data Analyst,Berlin
Bissantz & Company,3.7,(Junior) Data Engineer /,Hamburg
Fielmann AG,4.2,Data Analyst - Category Management (w/m/d),Hamburg
Amazon Development Center Germany GmbH,5.0,"Data Engineer, Amazon Deals",Berlin
Babbel,4.0,Principal Data Engineer (all genders),Berlin
Campana & Schott Business Services GmbH,3.3,Technology Consultant (w/m/d) Data & AI,Munich
BH businesshemden.com GmbH,3.2,Data Analyst Entwickler,Munich
Morgan Stanley,3.9,2024 Sales & Trading Off-Cycle Internship (Frankfurt),Frankfurt am Main
Cision,3.9,SENIOR ANALYST | Media Intelligence | Deutschsprachig | (m/w/d),Frankfurt am Main
Agilis Advisors GmbH,4.4,Financial Analyst,Germany
Mondelēz International,3.5,Junior Management Program Customer Service & Logistics (m/f/d),Bremen
DataLab. GmbH,4.5,BI Analyst (m/w/d),Düsseldorf
Nexperia Germany GmbH,4.2,(Sr.) Financial Analyst (m/f/d),Hamburg
Straumann Group,3.6,Procurement Digitalization Analyst (f/m/d),Freiburg im Breisgau
Goldman Sachs,3.5,Internal Audit-FRANKFURT-Analyst-Technology Audit,Frankfurt am Main
Cavendish Professionals,3.8,Salesforce Business Analyst,Home office
payabl.,3.1,Data Engineer,Frankfurt am Main
Uniper,3.6,Power Market Flexibility Analyst (f/m/d),Düsseldorf
Diebold Nixdorf,4.2,Business Analyst (m/w/d),Paderborn
Targobank AG,3.1,Praktikum im Ressort Marketing als Data Analyst (6 Monate),Düsseldorf
Bank of Scotland,3.9,IT Test Analyst,Düsseldorf
Tourlane GmbH,4.2,Senior Data Engineer (f/m/x),Berlin
Archer Daniels Midland Company,4.5,Supply Chain Analyst,Heidelberg
LUMITOS AG,3.0,Data Manager | Data Analyst (m/w/d) für B2B-Online-Marketing,Home office
4flow,3.0,Supply Chain Analyst (d/f/m),Berlin
Adevinta,3.3,Senior Data Engineer - Communications (d/f/m),Berlin
Starcom,3.9,Starcom - (Senior) Data Analyst (m/w/d),Frankfurt am Main
AUVESY-MDT,3.7,Business Analyst Revenue Operations,Landau in der Pfalz
KUKA Robotics,4.1,Senior Business Intelligence Analyst (FP&A) (m/f/d),Augsburg
BetterDoc GmbH,2.8,"Senior Business Intelligence Analyst (m/f/d) - Marketing Analytics, Digital Health",Köln
Fashion ID GmbH & Co. KG,2.8,Junior Analyst Kundenservice (m/w/d),Düsseldorf
Goldman Sachs,4.4,"Controllers, Regulatory Reporting Controllers, Analyst, Frankfurt",Frankfurt am Main
SIXT Germany,3.3,Executive Analyst (m/f/d) Pricing & Yield,Munich
FUNKE MEDIENGRUPPE,3.8,Senior Data Analyst (m/w/d),Berlin
Bankhaus Scheich / Tradias,4.1,"Trading Analyst (m/f/d) Frankfurt am Main, Germany",Frankfurt am Main
Leidos,4.4,"Identity Intelligence Analyst, Mid-Level",Stuttgart
EPAM Systems,4.3,Generative AI Consultant – Data Analytics Consulting (m/f/d),Berlin
CHECK24,4.0,(Junior) Produktmanager (m/w/d) Prozessautomatisierung Kreditservice,Munich
Scalable GmbH,3.5,Fraud Management Analyst (m/f/x),Berlin
SIGNAL IDUNA Asset Management GmbH,3.9,Data Engineer (m/w/d),Hamburg
Tesla,4.0,Material Cost Analyst (m/w/d) - Gigafactory Berlin-Brandenburg,Grünheide (Mark)
LAIQON Solutions GmbH,3.8,Data Engineer (m/w/d),Hamburg
Finanz-DATA GmbH,3.8,Junior Business Analyst (m/w/d),Gotha
Bergfreunde GmbH,3.2,Controller (m/w/d),Kirchentellinsfurt
Amazon TA,4.0,Payroll Manager DACH,Munich
Deutsche Börse,4.1,Software Developer - Risk Data Management Services (f/m/d),Frankfurt am Main
Techem Energy Services,3.7,Marketing Data Analyst (m/w/d),Eschborn
Serrala,2.7,Application Analyst (m/f/d),Norderstedt
Airport Research Center GmbH,5.0,AVIATION CONSULTANT | SIMULATION ENGINEER | DATA ANALYST (full time),Aachen
energy & meteo systems,3.8,Datenanalyst:in / Data Scientist,Oldenburg (Oldenburg)
KIND GmbH & Co. KG,4.2,Digital Analyst / Tracking Analyst (w/m/d),Burgwedel
BayWa r.e.,3.5,Business Analyst (d/f/m),Freiburg im Breisgau
Houlihan Lokey,3.8,3-Month Off-Cycle Internship - Corporate Finance (Technology),Frankfurt am Main
ProSiebenSat.1 Tech & Services GmbH,3.3,Intern Product Owner & Data Analyst (m/w/d),Munich
